date,gross_return,base_cost_return,stressed_cost_return,net_return,stressed_net_return,turnover,gross_leverage,net_exposure,nav,stressed_cost_nav
2012-10-23,-0.0014153929563342515,0.0,0.0,-0.0014153929563342515,-0.0014153929563342515,0.0,1.843332369119278,1.3496815674373435,1.1133773475752011,1.1053027517184113
2012-10-24,-0.004010824791391114,0.0,0.0,-0.004010824791391114,-0.004010824791391114,0.0,1.843332369119278,1.3496815674373435,1.1089117861073732,1.1008695760398262
2012-10-25,0.00023602463821260355,0.0,0.0,0.00023602463821260355,0.00023602463821260355,0.0,1.843332369119278,1.3496815674373435,1.109173516610499,1.1011294083832304
2012-10-26,0.0046142404323704115,0.0,0.0,0.0046142404323704115,0.0046142404323704115,0.0,1.843332369119278,1.3496815674373435,1.1142915098973576,1.1062102842206643
2012-10-31,0.0008116372746750783,2.0948748530555623e-05,6.284624559166686e-05,0.0007906885261445227,0.0007487910290834114,0.15,1.782782936715697,1.2887017908890006,1.1151725674090138,1.1070386045577685
2012-11-01,0.006751473376413859,2.0948748530555623e-05,6.284624559166686e-05,0.006730524627883303,0.006688627130822192,0.15,1.7222335043121155,1.2277220143406575,1.1226782638383,1.114443173003081
2012-11-02,-0.005193871786566239,2.0948748530555627e-05,6.284624559166688e-05,-0.005214820535096795,-0.005256718032157906,0.15000000000000002,1.6616840719085344,1.1667422377923145,1.1168236981737292,1.1085848594797405
2012-11-05,0.005007046647805381,2.0948748530555627e-05,6.284624559166688e-05,0.004986097899274825,0.004944200402213714,0.15000000000000002,1.6011346395049533,1.1057624612439716,1.1223922904690535,1.1140659251878684
2012-11-06,0.0028667616420615456,2.094874853055563e-05,6.284624559166689e-05,0.00284581289353099,0.0028039153964698788,0.15000000000000005,1.540585207101372,1.0447826846956287,1.12558640892087,1.117189671788185
2012-11-07,-0.01074042231749461,2.094874853055563e-05,6.284624559166689e-05,-0.010761371066025165,-0.010803268563086277,0.15000000000000005,1.4800357746977908,0.9838029081472858,1.113473555907598,1.105120371727951
2012-11-08,-0.006170080889898294,2.0948748530555627e-05,6.284624559166689e-05,-0.0061910296384288495,-0.0062329271354899605,0.15000000000000002,1.4314813305283498,0.9228231315989427,1.1065800081213673,1.098232236975025
2012-11-09,0.0018866697641565615,2.094874853055562e-05,6.284624559166686e-05,0.0018657210156260058,0.0018238235185648946,0.14999999999999997,1.4338696746064727,0.8618433550505996,1.108644577697991,1.100235218757666
2012-11-12,-0.00024860648567168566,2.0948748530555627e-05,6.284624559166688e-05,-0.0002695552342022413,-0.00031145273126335254,0.15000000000000002,1.4362580186845952,0.8008635785022568,1.1083457367492024,1.099892547493752
2012-11-13,-0.003989848594961135,2.094874853055562e-05,6.284624559166686e-05,-0.004010797343491691,-0.004052694840552802,0.14999999999999997,1.4386463627627184,0.7398838019539139,1.1039003866125783,1.0954350186413615
2012-11-14,-0.007772142233933525,2.0948748530555623e-05,6.284624559166686e-05,-0.0077930909824640805,-0.007834988479525191,0.14999999999999997,1.4410347068408411,0.6789040254055709,1.0952975904641291,1.086852297890238
